house_url,community_url
https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay/qmis/4273-lost-bay-drive,https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay
https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay/qmis/4295-lost-bay-drive,https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay
https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay/qmis/4299-lost-bay-drive,https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay
https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay/qmis/4303-lost-bay-drive,https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay
https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay/qmis/4311-lost-bay-drive,https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay
https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay/floor-plans/rpex,https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay
https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay/floor-plans/rpin,https://www.drhorton.com/alabama/baldwin-county/orange-beach/lost-bay
https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing/qmis/7535-courant-cirlce,https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing
https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing/qmis/7635-sable-drive,https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing
https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing/qmis/7636-courant-circle,https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing
https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing/qmis/7723-sable-drive,https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing
https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing/qmis/7735-sable-drive,https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing
https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing/qmis/7797-courant-circle,https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing
https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing/floor-plans/3lsf,https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing
https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing/floor-plans/cami,https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing
https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing/floor-plans/deli,https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing
https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing/floor-plans/jula,https://www.drhorton.com/alabama/baldwin-county/foley/bienville-landing
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/qmis/425-parkerman-avenue,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/qmis/495-preston-way,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/qmis/503-preston-way,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/floor-plans/5ecf,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/floor-plans/bris,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/floor-plans/dest,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/floor-plans/jasm,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/floor-plans/kade,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/floor-plans/kins,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/floor-plans/ozar,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/floor-plans/rhet,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms/floor-plans/vict,https://www.drhorton.com/alabama/baldwin-county/gulf-shores/raley-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/qmis/178-keller-drive,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/qmis/179-keller-drive,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/qmis/180-keller-drive,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/qmis/181-keller-drive,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/qmis/182-keller-drive,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/qmis/185-keller-drive,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/qmis/187-keller-drive,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/floor-plans/1475,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/floor-plans/4eaf,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/floor-plans/4ebf,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/floor-plans/4sbf,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms/floor-plans/lksd,https://www.drhorton.com/alabama/huntsville/hazel-green/townsend-farms
https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove/qmis/12516-smith-road,https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove
https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove/qmis/12536-ellens-cove-drive-south,https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove
https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove/qmis/12545-ellens-cove-drive-north,https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove
https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove/qmis/12547-ellens-cove-drive-south,https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove
https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove/qmis/12555-ellens-cove-drive-north,https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove
https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove/qmis/12565-ellens-cove-drive-north,https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove
https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove/qmis/12575-ellens-cove-drive-north,https://www.drhorton.com/alabama/mobile/grand-bay/ellens-cove
